Date,Department,Item Group,Item Name,Business Group,Quantity,Sales Price,Gross Amount,Line Discount Amount,Line Discount Percent,Net Amount,Tax Amount,Invoice Amount,WeekInYear,Batch Number,Outlet Region,Country Code,Channel Name,Sales Tax Group,Customer Classification Group
12/1/2021,MASS,Food,Pepperidge Farm Cookies Milano Double Chocolate (213g),FOOD,5,"81,300.00","406,500.00",0,7,"378,045.00","37,804.50","415,849.50",49,20220828,South,,General Trade,TP-HCM,MSD_South
12/1/2021,MASS,Food,Barilla Sauce Bolognese (400g),FOOD,6,"94,200.00","565,200.00",0,0,"565,200.00","56,520.00","621,720.00",49,20230430,South,,Modern Trade,TP-HCM,CoopFood
12/1/2021,MASS,Food,Haagen Dazs Strawberry Pint (473ml),FOOD,1,"206,500.00","206,500.00",0,0,"206,500.00","20,650.00","227,150.00",49,20220926,South,,Modern Trade,TP-HCM,BigC
12/1/2021,MASS,Food,Haribo Goldbears 80g,FOOD,6,"19,000.00","114,000.00",0,0,"114,000.00","11,400.00","125,400.00",49,20221111,South,,Modern Trade,TP-HCM,CoopFood
12/1/2021,MASS,Food,Barilla Pasta Spaghetti No.5 (500g),FOOD,45,"47,000.00","2,115,000.00",0,25,"1,586,250.00","158,625.00","1,744,875.00",49,20240424,South,,Modern Trade,TP-HCM,Coopmart
12/1/2021,MASS,Food,McCormick Cajun Seasoning (35g),FOOD,12,"57,100.00","685,200.00",0,20,"548,160.00","54,816.00","602,976.00",49,20230510,South,,Modern Trade,TP-HCM,BigC
12/1/2021,MASS,Food,Haagen Dazs Belgian Chocolate Minicup (100ml),FOOD,10,"57,000.00","570,000.00",0,0,"570,000.00","57,000.00","627,000.00",49,20220723,South,,Modern Trade,TP-HCM,Genshai
12/1/2021,MASS,FOOD,Emborg Frozen Brie Cheese Mon Ami 200g,FOOD,18,"61,600.00","1,108,800.00",0,0,"1,108,800.00","110,880.00","1,219,680.00",49,20220408,South,DNK,Modern Trade,TP-HCM,AGM
12/1/2021,MASS,FOOD,Merci Finest Selection Milk Chocolate 250g,FOOD,10,"110,000.00","1,100,000.00",0,5,"1,045,000.00","104,500.00","1,149,500.00",49,20220809,South,DEU,Modern Trade,TP-HCM,Coopmart
12/1/2021,MASS,Food,Kuehne Gourmet Steak Sauce (250ml),FOOD,48,"39,800.00","1,910,400.00",0,0,"1,910,400.00","191,040.00","2,101,440.00",49,20230628,South,,Modern Trade,TP-HCM,CoopXtra
12/1/2021,MASS,Food,Loacker Classic 45g Napolitaner,FOOD,12,0,0,0,0,0,0,0,49,20221028,South,,Modern Trade,TP-HCM,Vinmart
12/1/2021,HORECA,FOOD,SPAGHETTI 3KG Non-BBPE,FOOD,48,"140,400.00","6,739,200.00","29,400.00",0,"5,328,000.00","532,800.00","5,860,800.00",49,20231101,South,ITA,Horeca,TP-HCM,Pizza4P
12/1/2021,MASS,Food,Barilla Sauce Olive (400g),FOOD,3,"94,200.00","282,600.00",0,0,"282,600.00","28,260.00","310,860.00",49,20230305,South,,Modern Trade,TP-HCM,CoopFood
12/1/2021,MASS,BEVERAGE,Evian Water Glass Bottle (750ml),BEVERAGE,120,"53,300.00","6,396,000.00",0,0,"6,396,000.00","639,600.00","7,035,600.00",49,20230310,South,,General Trade,TP-HCM,GT_South
12/1/2021,MASS,Food,McCormick Basil Leaves  (10g),FOOD,4,"34,700.00","138,800.00",0,0,"138,800.00","13,880.00","152,680.00",49,20240525,South,,General Trade,TP-HCM,GT_South
12/1/2021,MASS,Food,Kuehne Honey-Mustard Dressing (250ml),FOOD,16,"57,500.00","920,000.00",0,0,"920,000.00","92,000.00","1,012,000.00",49,20230203,South,,Modern Trade,TP-HCM,CoopXtra
12/1/2021,MASS,Food,Haagen Dazs Cookies & Cream Minicup (100ml),FOOD,12,"57,000.00","684,000.00",0,0,"684,000.00","68,400.00","752,400.00",49,20220822,South,,General Trade,TP-HCM,GT_South
12/1/2021,MASS,FOOD,Bertolli Extra Virgin Olive Oil (250ml),FOOD,24,"95,500.00","2,292,000.00",0,0,"2,292,000.00","229,200.00","2,521,200.00",49,20230112,South,ITA,Modern Trade,TP-HCM,CoopXtra
12/1/2021,MASS,FOOD,Alpro Almond Drink Original 1L,,16,"89,900.00","1,438,400.00",0,15,"1,222,640.00","122,264.00","1,344,904.00",49,20220606,South,BEL,Modern Trade,TP-HCM,LotteMart
12/1/2021,MASS,Food,Haagen Dazs Mango Raspberry Minicup (100ml),FOOD,8,0,0,0,0,0,0,0,49,20221012,South,,Modern Trade,TP-HCM,Metro
12/1/2021,MASS,Food,St Michel Coconut Shortbreads (120g),FOOD,3,"34,800.00","104,400.00",0,0,"104,400.00","10,440.00","114,840.00",49,20220717,South,,Modern Trade,TP-HCM,CoopXtra
12/1/2021,MASS,Food,Haribo Happy Cola 80g,FOOD,12,"19,000.00","228,000.00",0,0,"228,000.00","22,800.00","250,800.00",49,20221107,South,,Modern Trade,TP-HCM,CoopFood
12/1/2021,MASS,Food,McCormick Steak Spice (60g),FOOD,24,"58,300.00","1,399,200.00",0,0,"1,399,200.00","139,920.00","1,539,120.00",49,20230510,South,,Modern Trade,TP-HCM,CoopXtra
12/1/2021,MASS,Food,Pep. Farm Distinctive Butter Chessman (206g),FOOD,144,"78,000.00","11,232,000.00",0,7,"10,445,760.00","1,044,576.00","11,490,336.00",49,20220827,South,,General Trade,TP-HCM,MSD_South
12/1/2021,MASS,Food,Kikkoman Soy Sauce Fancy (1L),FOOD,12,"125,800.00","1,509,600.00",0,0,"1,509,600.00","150,960.00","1,660,560.00",49,20221106,South,,Modern Trade,TP-HCM,BigC
12/1/2021,MASS,Food,Haribo Starmix 80g,FOOD,6,"19,000.00","114,000.00",0,0,"114,000.00","11,400.00","125,400.00",49,20221021,South,,Modern Trade,TP-HCM,CoopFood
12/1/2021,HORECA,Food,CIRIO Whole peeled tomato 2500g,FOOD,6,"97,600.00","585,600.00","12,130.00",0,"512,820.00","51,282.00","564,102.00",49,20231231,South,,Horeca,TP-HCM,PizzaHut
12/1/2021,MASS,Food,Ricola Alpin Fresh Carton Box (40g),FOOD,20,"24,200.00","484,000.00",0,15,"411,400.00","41,140.00","452,540.00",49,20230421,South,,Modern Trade,TP-HCM,BigC
12/1/2021,MASS,Food,Maple Joe Maple Syrup (250g),FOOD,12,"194,000.00","2,328,000.00",0,0,"2,328,000.00","232,800.00","2,560,800.00",49,20240511,South,,General Trade,TP-HCM,GT_South
12/1/2021,MASS,Food,Haribo Starmix 80g,FOOD,6,"19,000.00","114,000.00",0,0,"114,000.00","11,400.00","125,400.00",49,20221021,South,,Modern Trade,TP-HCM,CoopFood
12/1/2021,MASS,Food,Kikkoman Soy Sauce Dispenser (150ml),FOOD,30,"57,100.00","1,713,000.00",0,0,"1,713,000.00","171,300.00","1,884,300.00",49,20241011,South,,Modern Trade,TP-HCM,Vinmart
12/1/2021,MASS,Food,Tabasco Sauce Pepper RED (60ml),FOOD,1,"53,400.00","53,400.00",0,0,"53,400.00","5,340.00","58,740.00",49,20260714,South,,Modern Trade,TP-HCM,CoopXtra
12/1/2021,MASS,Food,Barilla Sauce Bolognese (400g),FOOD,6,"94,200.00","565,200.00",0,0,"565,200.00","56,520.00","621,720.00",49,20230430,South,,Modern Trade,TP-HCM,CoopFood
12/1/2021,MASS,Food,Haribo Goldbears 80g,FOOD,72,"19,000.00","1,368,000.00",0,0,"1,368,000.00","136,800.00","1,504,800.00",49,20221205,South,,Modern Trade,TP-HCM,BachHoaXanh
12/1/2021,MASS,Food,Kikkoman Soy Sauce Dispenser (150ml),FOOD,24,"57,100.00","1,370,400.00",0,0,"1,370,400.00","137,040.00","1,507,440.00",49,20241011,South,,Modern Trade,TP-HCM,Vinmart
12/1/2021,MASS,Food,"Emborg Frozen Cheddar, Shredded, F.I.D.M. 50% 200g",FOOD,3,"73,800.00","221,400.00",0,0,"221,400.00","22,140.00","243,540.00",49,20220726,South,,Modern Trade,TP-HCM,Genshai
12/1/2021,MASS,BEVERAGE,Volvic Still Water (1.5L),BEVERAGE,1,0,0,0,0,0,0,0,49,20230527,South,,General Trade,TP-HCM,GT_South
12/1/2021,MASS,Food,Haagen Dazs Macadamia Nut Minicup (100ml),FOOD,4,"57,000.00","228,000.00",0,0,"228,000.00","22,800.00","250,800.00",49,20220818,South,,Modern Trade,TP-HCM,CircleK_South
12/1/2021,MASS,Food,Barilla Sauce Napoletana (400g),FOOD,3,"79,600.00","238,800.00",0,7,"222,084.00","22,208.40","244,292.40",49,20230403,South,,General Trade,TP-HCM,MSD_South
